FATAL:kafka.common.InvalidOffsetException|FATAL|kafka.common.InvalidOffsetException|Attempt to append an offset (138740132) to position 38480 no larger than the last offset appended (138740133) to /grid/kafka-logs/SR_DEV-0/00000000000138547024.index.||||Resolution : Please refer article :https://support.hortonworks.com/s/article/Kafka-Broker-fails-to-start-with-error-Found-a-corrupted-index-file-due-to-requirement-failed-Corrupt-index-found-index-file
FATAL:java.io.IOException|FATAL||I/O exception in append to log ÔTopic-11'|java.io.IOException|No space left on device||Please refer below article in order move data to different log directory https://community.hortonworks.com/articles/59715/migrating-kafka-partitions-data-to-new-data-folder.html
FATAL:java.lang.InternalError|FATAL|java.lang.InternalError|a fault occurred in a recent unsafe memory access operation in compiled Java code||||Please refer below article in order move data to different log directory :https://community.hortonworks.com/articles/59715/migrating-kafka-partitions-data-to-new-data-folder.html
FATAL:kafka.common.KafkaException|FATAL|kafka.common.KafkaException|"Attempt to truncate log segment to 940997615 bytes failed,  size of this log segment is 940816831 bytes."||||1. Confirm if replication factor for topics in questions is more than one and replica is in ISR. 2. Move the data from the topics to other directory and restart affected broker again.  3. Data would be recovered from other kafka broker
FATAL:java.lang.IllegalArgumentException|FATAL|java.lang.IllegalArgumentException|requirement failed||||Please refer below article : https://hortonworks.secure.force.com/articles/en_US/SolutionKB/Kafka-broker-fails-to-start-with-java-lang-IllegalArgumentException-requirement-failed
ERROR:java.io.IOException|ERROR|java.io.IOException|Too many open files|||Error while accepting connection (kafka.network.Acceptor)|Resolution : Please refer article :https://support.hortonworks.com/s/article/ERROR-Error-while-accepting-connection-kafka-network-Acceptor-java-io-IOException-Too-many-open-files-kafka-broker-stops-with-the-error
ERROR:java.lang.OutOfMemoryError|ERROR|java.lang.OutOfMemoryError|Java heap space||||"Increase Kafka heap setting with YGB in the kafka-env template via Ambari:  export KAFKA_HEAP_OPTS=""-XmxYG -XmsYG"""
ERROR:kafka.common.MessageSizeTooLargeException|ERROR|kafka.common.MessageSizeTooLargeException|"Found a message larger than the maximum fetch size of this consumer on topic GeoKafkaTest partition 7 at fetch offset 0. Increase the fetch size, or decrease the maximum message size the broker will allow."|||Error processing message stopping consumer: (kafka.consumer.ConsoleConsumer$)|Please refer below article : https://hortonworks.secure.force.com/articles/en_US/FAQ/kafka-common-MessageSizeTooLargeException-Found-a-message-larger-than-the-maximum-fetch-size-of-this-consumer-on-topic
WARN:kafka.common.BrokerEndPointNotAvailableException|WARN|kafka.common.BrokerEndPointNotAvailableException|End point with security protocol SASL_PLAINTEXT not found for broker 1001||||1. Check which protocol is configured in server.properties in listerner/advertised.listener  2. Make sure you are using same protocol 3. Try using PLAINTESXTSASL
FATAL:java.lang.IllegalArgumentException|FATAL|java.lang.IllegalArgumentException|requirement failed: inter.broker.listener.name must be a listener name defined in advertised.listeners. The valid options based on currently configured listeners are PLAINTEXT||||Resolution : Please refer article :https://support.hortonworks.com/s/article/ERROR-java-lang-IllegalArgumentException-requirement-failed-security-inter-broker-protocol-must-be-a-protocol-in-the-configured-set-of-advertised-listeners
